 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ARTCAL_P9_R1_W_00001.jpg,0.2,17.0,4.6,17.0,4.6,6.5,16.0,4.4,1.7,0.9,1.0,0.3,166.3,0.1,1.8,3781,1058,165.8,0.8,3.2,0.3,0.3
2,ARTCAL_P9_R1_W_00001.jpg,0.3,11.4,7.8,11.4,7.8,8.4,10.2,7.2,1.8,1.1,0.9,0.4,7.8,0.1,1.9,2428,1876,17.2,1.0,2.2,0.5,0.3
3,ARTCAL_P9_R1_W_00001.jpg,32.9,2.4,17.5,2.5,17.5,108.4,1.1,10.0,2.7,15.1,16.9,2.5,88.3,0.0,15.2,274,5928,80.2,2.3,6.8,0.1,0.9
4,ARTCAL_P9_R1_W_00001.jpg,0.3,16.9,12.7,16.9,12.7,10.1,15.8,12.2,1.9,1.1,1.0,0.4,172.7,0.0,2.0,3736,2993,165.3,1.0,2.6,0.4,0.3
5,ARTCAL_P9_R1_W_00001.jpg,0.2,11.2,15.6,11.2,15.6,6.3,10.3,15.2,1.7,0.9,0.9,0.3,163.0,0.1,1.7,2433,3610,162.4,0.8,3.3,0.3,0.2
6,ARTCAL_P9_R1_W_00001.jpg,0.3,14.3,19.6,14.3,19.6,8.2,13.1,18.9,1.8,1.0,1.0,0.4,16.3,0.1,1.9,3114,4708,4.4,0.9,2.7,0.4,0.3
7,ARTCAL_P9_R1_W_00001.jpg,0.0,3.5,19.3,3.5,19.3,1.2,3.5,19.1,0.1,0.4,0.4,0.0,87.6,0.1,0.4,835,4636,86.1,0.0,13.1,0.1,0.6
8,ARTCAL_P9_R1_W_00001.jpg,0.0,20.8,21.0,20.8,21.0,2.0,20.7,20.8,0.2,0.3,0.2,0.1,83.4,0.1,0.3,4923,5013,75.0,0.2,1.5,0.6,0.4
9,ARTCAL_P9_R1_W_00001.jpg,0.0,3.5,21.7,3.5,21.7,1.2,3.5,21.5,0.0,0.5,0.5,0.0,89.0,0.1,0.5,819,5200,87.4,0.0,15.3,0.1,0.7
10,ARTCAL_P9_R1_W_00001.jpg,0.0,3.4,22.9,3.4,22.9,1.3,3.4,22.6,0.1,0.5,0.5,0.0,88.8,0.1,0.5,811,5488,85.8,0.1,15.9,0.1,0.6
