 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,CEAGRI_P1_R1_W_00001.jpg,0.0,21.2,0.4,21.2,0.4,2.8,21.2,0.0,0.1,0.9,0.9,0.0,91.6,0.0,0.9,5032,0,91.4,0.1,20.9,0.0,0.7
2,CEAGRI_P1_R1_W_00001.jpg,0.0,7.2,0.9,7.2,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.7,0.7,0.2,1689,191,122.6,0.1,1.4,0.7,0.9
3,CEAGRI_P1_R1_W_00001.jpg,0.0,21.3,1.6,21.3,1.6,2.4,21.2,1.1,0.1,0.9,0.9,0.0,92.0,0.1,0.9,5036,263,94.3,0.1,22.5,0.0,0.7
4,CEAGRI_P1_R1_W_00001.jpg,0.0,21.3,2.4,21.3,2.4,1.7,21.3,2.1,0.1,0.5,0.5,0.0,92.2,0.1,0.5,5047,500,92.8,0.1,12.4,0.1,0.7
5,CEAGRI_P1_R1_W_00001.jpg,0.0,21.3,2.8,21.3,2.8,1.3,21.3,2.6,0.1,0.4,0.4,0.0,92.2,0.1,0.4,5057,624,91.7,0.1,10.3,0.1,0.7
6,CEAGRI_P1_R1_W_00001.jpg,4.4,8.8,5.1,8.8,5.1,9.7,7.3,4.0,2.9,2.2,2.7,2.1,175.9,0.6,2.9,1735,1169,170.1,2.1,1.3,0.8,1.0
7,CEAGRI_P1_R1_W_00001.jpg,3.9,16.3,5.2,16.3,5.2,9.1,14.8,4.1,2.7,2.0,2.5,2.0,172.4,0.6,2.8,3517,1173,169.4,2.0,1.3,0.8,1.0
8,CEAGRI_P1_R1_W_00001.jpg,1.6,2.6,10.5,2.6,10.5,12.3,2.0,9.7,1.2,2.0,2.1,1.0,105.8,0.1,2.3,468,2294,120.6,1.1,2.1,0.5,0.8
9,CEAGRI_P1_R1_W_00001.jpg,17.6,1.7,17.6,1.7,17.7,80.8,0.8,9.7,2.8,15.1,15.9,1.4,93.2,0.0,15.2,212,2299,99.9,2.3,11.3,0.1,0.7
10,CEAGRI_P1_R1_W_00001.jpg,0.2,2.2,11.0,2.2,11.0,3.0,2.0,10.7,0.4,0.6,0.7,0.4,92.5,0.3,0.7,477,2530,125.8,0.4,1.5,0.7,0.9
11,CEAGRI_P1_R1_W_00001.jpg,0.2,2.2,11.6,2.2,11.6,3.0,2.0,11.3,0.4,0.6,0.7,0.4,92.6,0.3,0.7,482,2677,125.9,0.4,1.5,0.6,0.9
12,CEAGRI_P1_R1_W_00001.jpg,1.3,2.9,12.7,2.9,12.7,14.9,2.5,11.6,0.8,2.3,2.4,0.7,92.3,0.1,2.4,587,2760,107.9,0.7,3.5,0.3,0.8
13,CEAGRI_P1_R1_W_00001.jpg,5.4,16.5,12.8,16.5,12.8,11.1,14.6,11.6,3.5,2.3,3.1,2.2,177.7,0.5,3.5,3456,3104,6.1,2.3,1.4,0.7,0.9
