 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ERIKAR_P1_R1_W_00001.jpg,0.0,7.2,0.9,7.2,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.7,0.7,0.2,1691,190,118.9,0.1,1.4,0.7,0.9
2,ERIKAR_P1_R1_W_00001.jpg,0.6,16.7,4.1,16.7,4.1,6.5,15.6,3.9,2.2,0.6,1.8,0.4,174.2,0.2,2.2,3692,1004,179.4,0.6,4.0,0.3,0.7
3,ERIKAR_P1_R1_W_00001.jpg,0.4,10.0,4.8,10.0,4.8,3.8,9.3,4.5,1.4,0.7,1.4,0.3,153.6,0.3,1.5,2214,1055,151.7,0.4,4.3,0.2,0.9
4,ERIKAR_P1_R1_W_00001.jpg,32.7,2.1,17.2,2.1,17.1,123.3,0.7,9.6,3.0,15.1,16.9,2.5,87.4,0.0,15.2,170,5836,79.4,2.3,6.8,0.1,0.9
5,ERIKAR_P1_R1_W_00001.jpg,0.5,16.6,11.8,16.6,11.8,4.8,15.8,11.2,1.5,1.2,1.6,0.4,37.8,0.3,1.9,3740,2929,37.5,0.5,4.4,0.2,0.8
6,ERIKAR_P1_R1_W_00001.jpg,0.0,1.2,13.1,1.2,13.1,2.3,1.2,12.6,0.1,0.8,0.8,0.0,87.5,0.0,0.8,277,3192,86.2,0.1,27.5,0.0,0.4
7,ERIKAR_P1_R1_W_00001.jpg,0.2,10.5,13.7,10.5,13.7,2.7,10.1,13.2,0.8,0.9,1.1,0.2,128.4,0.4,1.2,2398,3136,129.8,0.3,4.6,0.2,0.9
8,ERIKAR_P1_R1_W_00001.jpg,0.3,12.5,21.1,12.5,21.1,3.5,11.7,20.9,1.4,0.5,1.3,0.3,12.9,0.3,1.4,2782,5048,12.1,0.4,4.3,0.2,0.9
9,ERIKAR_P1_R1_W_00001.jpg,0.1,21.3,24.0,21.3,24.0,5.9,21.2,23.0,0.1,1.9,2.0,0.0,89.1,0.0,1.9,5032,5918,88.0,0.1,47.5,0.0,0.7
10,ERIKAR_P1_R1_W_00001.jpg,0.0,21.2,25.8,21.2,25.8,2.5,21.2,25.3,0.1,0.9,1.0,0.0,88.8,0.1,0.9,5024,6228,85.9,0.1,23.4,0.0,0.7
11,ERIKAR_P1_R1_W_00001.jpg,0.0,21.2,26.7,21.2,26.7,0.9,21.2,26.5,0.1,0.4,0.4,0.0,88.8,0.2,0.4,5030,6369,86.0,0.0,9.7,0.1,0.8
12,ERIKAR_P1_R1_W_00001.jpg,0.0,21.2,27.2,21.2,27.2,0.9,21.2,27.0,0.0,0.3,0.3,0.0,89.3,0.2,0.3,5024,6469,83.3,0.0,6.9,0.1,0.8
