 ,Label,Area,StdDev,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,HETARB_P1_R1_W_00001.jpg,0.266451936,36.991967338,21.624092922,3.773041614,21.624300009,3.794624016,17.245010152,21.564821762,0.000000000,0.101243295,7.525751569,8.071714453,0.042030370,90.390281299,0.011259052,7.526054234,5120,0,90.513849716,0.062433059,192.044812603,0.005207118,0.635917691
2,HETARB_P1_R1_W_00001.jpg,18.956187613,56.815179494,0.457563154,14.367551149,0.455921496,14.423340809,81.343611581,0.000000000,0.012655412,2.134546129,27.597234735,20.841150788,1.158082293,90.503555529,0.036000950,27.598814521,8,6545,89.386953300,2.134546129,17.996260646,0.055567099,0.546651374
3,HETARB_P1_R1_W_00001.jpg,15.188934858,24.073408617,18.026508459,4.333603580,18.025516598,4.331754267,28.060662625,13.920953015,2.611233308,7.420289804,3.378994959,6.339976386,3.050350873,8.468216418,0.242404869,7.540268119,3304,1227,10.932743851,3.374210629,2.078441678,0.481129690,0.889746350
4,HETARB_P1_R1_W_00001.jpg,0.955208747,57.413671530,1.427294190,6.614042713,1.431810639,6.609037932,4.842616163,0.885878828,6.158967092,1.130550124,0.974466711,1.226891362,0.991293596,10.173649223,0.511856309,1.416727994,216,1690,41.378515296,0.974237298,1.237666990,0.807971779,0.931714430
5,HETARB_P1_R1_W_00001.jpg,0.657454537,31.320160665,1.685672482,7.579084536,1.685568790,7.573483114,7.086273064,1.324599772,7.002661214,0.700266121,1.147424006,1.184554377,0.706676816,91.467404292,0.164528002,1.301676764,317,1670,121.887288330,0.687189107,1.676232120,0.596576087,0.865090794
6,HETARB_P1_R1_W_00001.jpg,11.537833294,22.133467458,6.204566699,8.597982723,6.204587681,8.596769982,24.284959466,3.408524253,7.027972037,6.496444740,3.058391193,5.606459837,2.620267698,10.174325936,0.245843855,6.616123482,812,2190,11.660996381,2.918750218,2.139651548,0.467365820,0.858329218
7,HETARB_P1_R1_W_00001.jpg,0.217959214,61.331404728,1.103479997,7.452238657,1.104258000,7.440289275,2.940779562,0.902752711,7.154526156,0.409191649,0.594804356,0.651596817,0.425898782,90.372759834,0.316708817,0.704383544,218,1836,56.976132444,0.409191649,1.529933506,0.653623178,0.908908760
8,HETARB_P1_R1_W_00001.jpg,0.220343810,59.600910783,1.109323197,8.073021645,1.109475854,8.062100234,2.956030276,0.915408123,7.774641336,0.404973179,0.594804356,0.655680270,0.427876918,91.357568381,0.316878639,0.709016867,219,1843,123.595520121,0.404973179,1.532403929,0.652569457,0.922859059
9,HETARB_P1_R1_W_00001.jpg,0.672260388,31.618410982,1.691186342,8.691741391,1.691150745,8.685982939,6.982558647,1.341473654,8.133211337,0.683392239,1.113676241,1.218854999,0.702256225,90.796031895,0.173267936,1.276915097,320,1930,120.801445976,0.683392239,1.735627191,0.576160598,0.903961427
10,HETARB_P1_R1_W_00001.jpg,0.227960282,54.769382105,1.114476137,8.701957334,1.114646154,8.693315667,3.016887650,0.915408123,8.394756515,0.413410120,0.611678239,0.672343459,0.431696094,91.565260124,0.314739155,0.719592449,220,1991,123.037948602,0.411744235,1.557446241,0.642076737,0.916440120
11,HETARB_P1_R1_W_00001.jpg,0.425828383,56.331008675,1.122636855,9.627539544,1.122600301,9.616006359,5.917778011,0.923845064,9.031745577,0.413410120,1.202264124,1.296206662,0.418283251,90.498990683,0.152801328,1.245956556,222,2141,108.557637671,0.409834458,3.098872974,0.322697964,0.878160666
12,HETARB_P1_R1_W_00001.jpg,0.645140055,28.997266097,1.699536842,9.804544713,1.699136599,9.800072002,6.583624029,1.349910595,9.267979932,0.683392239,1.075710006,1.184271142,0.693606219,90.293973382,0.187039713,1.248018685,324,2452,59.534455081,0.683392239,1.707411366,0.585681939,0.898496846
13,HETARB_P1_R1_W_00001.jpg,0.221411540,56.287773414,1.132425753,10.541893976,1.132755859,10.531799308,3.010673471,0.936500476,10.242446643,0.409191649,0.603241297,0.658234206,0.428282100,91.095507632,0.306960720,0.711472301,225,2570,57.346420669,0.409117298,1.536917386,0.650653060,0.908573098
14,HETARB_P1_R1_W_00001.jpg,0.651920138,32.339808306,1.709305775,10.909921335,1.709569369,10.903729401,6.946690993,1.354129066,10.369000761,0.687610710,1.084146947,1.197402171,0.693209449,90.772080531,0.169765055,1.258844219,323,2459,121.293038996,0.680443953,1.727331000,0.578927837,0.902648762
15,HETARB_P1_R1_W_00001.jpg,0.217763464,58.742087527,1.138224003,11.162915586,1.138649375,11.152797093,2.885888007,0.940718946,10.858343352,0.409191649,0.599022827,0.651266176,0.425732309,91.513637889,0.328576072,0.712534527,226,2574,123.407824590,0.405859491,1.529755112,0.653699401,0.908969359
16,HETARB_P1_R1_W_00001.jpg,0.652845504,32.817160865,1.718988943,12.025137527,1.718811921,12.018286630,6.937551583,1.371002948,11.470021590,0.700266121,1.134768594,1.207130767,0.688598729,90.852712512,0.170454249,1.309466551,327,2722,121.027066760,0.685712561,1.753024973,0.570442530,0.874433904
17,HETARB_P1_R1_W_00001.jpg,0.214079796,58.440502711,1.142784039,11.775053485,1.142662864,11.764494120,2.877626683,0.944937417,11.482677002,0.413410120,0.582148944,0.640127656,0.425813289,91.191192588,0.324875262,0.697414117,227,2723,124.651315912,0.405926442,1.503305961,0.665200582,0.910846110
18,HETARB_P1_R1_W_00001.jpg,9.354005825,22.697436944,16.738700495,12.947647650,16.739487355,12.945687103,20.513877450,14.313270782,11.550172532,5.766649325,2.792627544,4.911711158,2.424794483,11.464322904,0.279326402,5.841777642,3404,3267,11.707531699,2.690594700,2.025619570,0.493676115,0.871218123
19,HETARB_P1_R1_W_00001.jpg,0.227782327,57.273646872,1.151182400,12.396668971,1.151793211,12.386634891,3.002060913,0.949155887,12.090136770,0.413410120,0.611678239,0.674927849,0.429707363,91.196629877,0.317607602,0.722159785,229,3011,57.888185126,0.410921328,1.570668571,0.636671554,0.912851234
20,HETARB_P1_R1_W_00001.jpg,0.649446564,31.809492642,1.730925416,13.141241920,1.730754822,13.135042592,6.959294968,1.383658360,12.596353244,0.679173768,1.088365418,1.198838558,0.689751795,90.388949231,0.168508883,1.254482659,330,2988,120.963756532,0.679173768,1.738072401,0.575350026,0.898526461
21,HETARB_P1_R1_W_00001.jpg,0.209417377,57.659534315,1.155536174,13.014074678,1.154846498,13.004046146,2.903113124,0.961811299,12.727125832,0.404973179,0.573712003,0.629509270,0.423565622,90.392647815,0.312244402,0.689484470,229,3018,125.537677792,0.403152566,1.486214267,0.672850492,0.909920359
22,HETARB_P1_R1_W_00001.jpg,0.227034916,61.278894721,1.162918735,13.632999246,1.162898602,13.621067249,2.848397186,0.966029770,13.321930189,0.413410120,0.611678239,0.670616291,0.431051016,91.307098126,0.351642551,0.723070966,230,3160,124.060908817,0.409916216,1.555770122,0.642768482,0.916984116
23,HETARB_P1_R1_W_00001.jpg,1.295227257,33.990136438,1.747938054,14.808416552,1.747567251,14.801807096,14.138901238,1.392095302,13.667844779,0.691829180,2.240007894,2.408486237,0.684718284,90.528926269,0.081418766,2.324760076,337,3770,74.097447396,0.682801889,3.517484920,0.284294040,0.863987085
