 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,HETARB_P6_R1_W_00001.jpg,0.1,21.2,1.5,21.2,1.5,7.0,21.1,0.0,0.1,3.0,3.1,0.0,90.9,0.0,3.0,5012,0,91.0,0.1,75.7,0.0,0.6
2,HETARB_P6_R1_W_00001.jpg,0.0,7.2,0.9,7.2,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.9,0.7,0.2,1689,191,119.6,0.1,1.4,0.7,0.9
3,HETARB_P6_R1_W_00001.jpg,0.0,21.2,3.5,21.2,3.5,3.1,21.1,3.0,0.1,1.1,1.1,0.0,91.2,0.0,1.1,5020,708,91.8,0.1,25.2,0.0,0.7
4,HETARB_P6_R1_W_00001.jpg,0.1,21.2,5.3,21.2,5.3,5.2,21.2,4.2,0.1,2.2,2.3,0.0,90.9,0.0,2.2,5024,984,90.5,0.1,55.3,0.0,0.6
5,HETARB_P6_R1_W_00001.jpg,10.3,16.6,5.6,16.6,5.6,26.0,12.6,4.2,6.9,2.8,5.5,2.4,173.0,0.2,6.9,2976,1246,173.5,2.7,2.3,0.4,0.8
6,HETARB_P6_R1_W_00001.jpg,0.0,21.2,6.8,21.2,6.8,2.7,21.2,6.4,0.1,0.9,0.9,0.0,91.2,0.1,0.9,5028,1720,88.9,0.1,21.4,0.0,0.6
7,HETARB_P6_R1_W_00001.jpg,0.0,21.3,7.7,21.3,7.7,1.7,21.2,7.5,0.0,0.5,0.4,0.0,90.2,0.1,0.5,5032,1887,85.7,0.0,10.3,0.1,0.8
8,HETARB_P6_R1_W_00001.jpg,0.0,21.3,8.2,21.3,8.2,1.1,21.2,8.0,0.1,0.4,0.4,0.0,92.0,0.1,0.4,5032,1888,95.4,0.1,10.5,0.1,0.7
9,HETARB_P6_R1_W_00001.jpg,15.1,0.7,17.0,0.7,17.0,104.8,0.0,8.1,2.0,15.1,12.0,1.6,92.8,0.0,15.2,0,1910,96.8,2.0,7.5,0.1,0.6
10,HETARB_P6_R1_W_00001.jpg,3.3,1.3,9.9,1.3,9.9,28.4,0.5,8.1,1.3,4.3,4.3,1.0,94.2,0.1,4.4,124,1911,105.3,1.3,4.5,0.2,0.7
11,HETARB_P6_R1_W_00001.jpg,13.5,7.0,9.6,7.0,9.6,32.0,2.5,8.2,8.0,2.9,6.5,2.6,1.1,0.2,8.0,583,2289,1.6,2.9,2.5,0.4,0.8
