 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,IRIDOU_P3_R1_W_00001.jpg,0.0,21.3,0.5,21.3,0.5,2.3,21.3,0.0,0.1,1.0,1.1,0.0,91.4,0.1,1.0,5044,0,91.9,0.0,26.8,0.0,0.8
2,IRIDOU_P3_R1_W_00001.jpg,33.0,10.3,1.6,10.3,1.5,102.0,2.7,0.2,15.1,2.7,16.8,2.5,1.5,0.0,15.2,648,159,173.4,2.3,6.8,0.1,1.0
3,IRIDOU_P3_R1_W_00001.jpg,27.4,10.1,6.3,10.1,6.3,47.9,0.5,3.9,19.5,3.8,19.6,1.8,172.2,0.1,19.7,125,991,172.5,2.2,11.0,0.1,0.8
4,IRIDOU_P3_R1_W_00001.jpg,19.6,10.1,10.2,10.1,10.2,36.0,2.4,8.8,15.6,2.3,16.0,1.6,178.3,0.2,15.6,569,2289,179.8,2.1,10.2,0.1,0.8
5,IRIDOU_P3_R1_W_00001.jpg,17.4,12.1,14.0,12.1,14.0,47.6,0.9,13.4,19.9,1.3,20.2,1.1,179.2,0.1,19.9,210,3291,178.0,1.1,18.4,0.1,1.0
6,IRIDOU_P3_R1_W_00001.jpg,20.7,10.8,18.2,10.8,18.2,47.7,1.1,17.1,19.2,2.2,20.7,1.3,176.0,0.1,19.3,252,4143,175.3,1.4,16.2,0.1,0.8
7,IRIDOU_P3_R1_W_00001.jpg,0.0,0.0,20.1,0.0,20.2,1.4,0.0,19.9,0.0,0.6,0.6,0.0,90.5,0.1,0.6,8,4715,91.7,0.0,14.5,0.1,0.9
8,IRIDOU_P3_R1_W_00001.jpg,0.0,0.1,20.9,0.1,20.9,1.7,0.0,20.5,0.1,0.7,0.7,0.0,90.9,0.1,0.7,12,4868,91.5,0.1,16.7,0.1,0.7
9,IRIDOU_P3_R1_W_00001.jpg,0.3,3.2,25.4,3.2,25.4,56.7,0.0,21.3,21.3,6.3,1.2,0.3,167.7,0.0,22.2,14,5056,163.6,6.0,3.5,0.3,0.0
10,IRIDOU_P3_R1_W_00001.jpg,16.7,12.7,24.1,12.9,24.1,44.9,2.5,23.0,18.7,1.9,17.7,1.2,178.9,0.1,18.7,591,5448,176.7,1.6,14.6,0.1,0.7
11,IRIDOU_P3_R1_W_00001.jpg,0.0,9.1,26.9,9.1,26.9,0.5,9.0,26.9,0.1,0.1,0.1,0.1,143.2,0.7,0.2,2135,6371,133.9,0.1,1.5,0.7,0.9
