 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P10_R1_W_00001.jpg,0.0,11.6,1.9,11.6,1.9,1.0,11.4,1.9,0.3,0.1,0.2,0.1,160.6,0.1,0.3,2714,439,163.9,0.1,3.3,0.3,0.6
2,MALLAU_P10_R1_W_00001.jpg,0.0,11.9,2.0,11.9,2.0,1.3,11.8,1.9,0.3,0.1,0.2,0.1,175.0,0.1,0.3,2786,464,171.5,0.1,3.2,0.3,0.4
3,MALLAU_P10_R1_W_00001.jpg,22.5,14.9,4.4,15.0,4.4,28.0,8.5,2.6,10.9,3.6,8.4,3.4,176.9,0.4,10.9,2008,938,176.4,3.6,2.5,0.4,0.8
4,MALLAU_P10_R1_W_00001.jpg,24.1,8.8,8.8,8.8,8.8,27.8,3.0,6.5,10.1,4.2,8.0,3.8,169.6,0.4,10.1,716,2278,2.6,4.0,2.1,0.5,0.9
5,MALLAU_P10_R1_W_00001.jpg,22.1,0.8,13.8,0.7,13.8,104.1,0.0,6.6,1.8,15.1,16.7,1.7,89.3,0.0,15.1,20,5145,84.0,1.8,9.9,0.1,0.9
6,MALLAU_P10_R1_W_00001.jpg,0.0,21.2,8.2,21.2,8.2,1.1,21.2,8.0,0.1,0.3,0.3,0.0,87.4,0.1,0.3,5032,1974,84.4,0.1,8.5,0.1,0.7
7,MALLAU_P10_R1_W_00001.jpg,0.1,21.2,12.2,21.2,12.2,3.9,21.1,11.4,0.1,1.5,1.6,0.0,88.7,0.0,1.5,5012,3076,88.1,0.1,39.7,0.0,0.7
8,MALLAU_P10_R1_W_00001.jpg,15.9,16.3,14.0,16.3,14.0,21.7,11.7,12.3,7.6,3.4,6.3,3.2,173.3,0.4,7.8,2782,3014,167.5,3.3,2.0,0.5,0.9
9,MALLAU_P10_R1_W_00001.jpg,0.5,21.0,20.3,21.0,20.3,31.6,20.8,13.1,0.3,14.4,15.6,0.0,88.9,0.0,14.4,4940,6537,88.8,0.1,381.2,0.0,0.6
10,MALLAU_P10_R1_W_00001.jpg,26.5,9.9,19.1,9.9,19.1,29.1,3.4,16.9,10.8,4.4,8.4,4.0,172.0,0.4,10.9,817,4374,172.3,4.3,2.1,0.5,0.8
11,MALLAU_P10_R1_W_00001.jpg,0.0,0.1,17.2,0.1,17.2,0.6,0.0,17.1,0.1,0.2,0.2,0.1,87.1,0.4,0.2,0,4099,67.6,0.1,3.0,0.3,0.7
12,MALLAU_P10_R1_W_00001.jpg,0.0,0.1,17.4,0.1,17.4,0.5,0.0,17.4,0.2,0.1,0.2,0.1,176.8,0.8,0.2,0,4114,155.1,0.1,1.7,0.6,1.0
13,MALLAU_P10_R1_W_00001.jpg,8.1,15.1,23.8,15.1,23.8,17.1,11.1,22.6,6.7,2.4,5.5,1.9,165.7,0.3,6.9,2644,5480,164.5,2.0,3.0,0.3,0.8
