 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MANDEN_P4_R1_W_00001.jpg,0.0,0.5,6.6,0.5,6.6,1.3,0.4,6.4,0.2,0.3,0.2,0.1,64.1,0.1,0.3,100,1593,69.4,0.2,2.7,0.4,0.4
2,MANDEN_P4_R1_W_00001.jpg,2.6,16.0,10.9,16.0,10.9,9.6,15.2,9.1,1.7,3.2,3.1,1.1,114.4,0.3,3.4,3627,2153,114.6,1.1,2.9,0.3,0.9
3,MANDEN_P4_R1_W_00001.jpg,1.9,12.0,10.7,12.0,10.7,7.6,10.3,10.2,3.2,1.0,2.8,0.9,6.3,0.4,3.2,2439,2584,6.7,0.9,3.2,0.3,0.9
4,MANDEN_P4_R1_W_00001.jpg,33.5,3.9,19.0,3.9,19.0,83.4,2.6,11.5,2.7,15.1,16.9,2.5,88.5,0.1,15.2,627,6285,80.6,2.4,6.7,0.1,1.0
5,MANDEN_P4_R1_W_00001.jpg,0.6,21.0,19.7,21.0,19.7,35.1,20.7,11.8,0.6,15.8,17.2,0.0,88.0,0.0,15.8,4908,6539,88.0,0.1,388.4,0.0,0.8
6,MANDEN_P4_R1_W_00001.jpg,2.0,16.5,14.8,16.5,14.8,7.7,15.3,13.8,2.2,2.2,2.7,1.0,42.2,0.4,3.1,3627,3800,44.6,1.0,2.8,0.4,0.9
7,MANDEN_P4_R1_W_00001.jpg,0.0,2.9,15.4,2.9,15.4,1.9,2.9,15.0,0.1,0.7,0.7,0.0,88.5,0.1,0.7,681,3728,86.3,0.0,28.9,0.0,0.5
8,MANDEN_P4_R1_W_00001.jpg,2.0,11.3,16.3,11.3,16.3,7.3,9.6,15.7,3.0,1.0,2.6,1.0,2.0,0.5,3.1,2273,3904,3.9,1.0,2.7,0.4,0.9
9,MANDEN_P4_R1_W_00001.jpg,1.6,16.9,20.6,16.9,20.6,7.0,15.3,20.1,2.9,0.9,2.6,0.8,9.2,0.4,2.9,3624,4954,10.4,0.9,3.3,0.3,0.9
10,MANDEN_P4_R1_W_00001.jpg,0.0,14.2,26.7,14.2,26.7,0.5,14.1,26.6,0.1,0.2,0.2,0.1,104.1,0.7,0.2,3356,6317,121.4,0.1,1.4,0.7,0.9
