 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P8_R1_W_00001.jpg,0.0,7.2,0.9,7.2,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.9,0.6,0.2,1689,192,119.6,0.1,1.4,0.7,0.9
2,SALAPI_P8_R1_W_00001.jpg,4.0,15.9,5.0,15.9,5.0,10.9,13.8,4.1,3.9,1.7,3.3,1.5,167.6,0.4,3.9,3260,1103,169.6,1.7,2.1,0.5,0.9
3,SALAPI_P8_R1_W_00001.jpg,33.4,4.7,13.1,4.6,13.0,95.2,3.3,5.5,2.7,15.1,16.9,2.5,88.3,0.0,15.2,800,4873,80.5,2.4,6.8,0.1,0.9
4,SALAPI_P8_R1_W_00001.jpg,4.7,9.8,7.8,9.8,7.8,13.0,7.8,6.9,4.6,1.9,3.9,1.6,164.3,0.3,4.7,1855,1722,166.7,1.7,2.5,0.4,0.9
5,SALAPI_P8_R1_W_00001.jpg,0.0,3.6,9.0,3.6,9.0,3.2,3.6,8.4,0.1,1.3,1.3,0.0,88.5,0.0,1.3,850,2304,87.6,0.1,38.7,0.0,0.5
6,SALAPI_P8_R1_W_00001.jpg,0.0,3.6,10.0,3.6,10.0,1.4,3.6,9.7,0.1,0.5,0.5,0.0,88.3,0.1,0.5,850,2436,87.8,0.1,17.4,0.1,0.5
7,SALAPI_P8_R1_W_00001.jpg,0.0,3.6,11.0,3.6,11.1,3.0,3.5,10.5,0.1,1.1,1.1,0.0,88.3,0.0,1.1,838,2756,87.4,0.1,30.6,0.0,0.4
8,SALAPI_P8_R1_W_00001.jpg,3.7,15.7,12.5,15.7,12.5,10.7,13.5,11.7,3.9,1.6,3.2,1.5,2.9,0.4,3.9,3204,2901,179.1,1.6,2.2,0.5,0.9
9,SALAPI_P8_R1_W_00001.jpg,4.2,10.5,16.1,10.5,16.1,11.5,8.2,15.0,3.8,2.1,3.4,1.6,26.9,0.4,4.2,1942,4048,27.5,1.8,2.1,0.5,0.9
10,SALAPI_P8_R1_W_00001.jpg,4.0,14.9,21.3,14.9,21.3,12.2,12.7,20.4,4.0,2.3,3.6,1.4,25.0,0.3,4.5,3013,5369,28.0,1.6,2.6,0.4,0.9
