 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALLEU_P6_R1_W_00001.jpg,1.8,16.8,5.2,16.8,5.2,8.7,15.5,4.6,2.6,1.1,2.2,1.0,1.3,0.3,2.6,3662,1280,5.1,1.1,2.1,0.5,0.9
2,SALLEU_P6_R1_W_00001.jpg,1.9,8.4,8.3,8.4,8.3,9.1,6.9,7.8,2.7,1.2,2.2,1.1,8.7,0.3,2.7,1629,2066,13.0,1.2,2.1,0.5,0.8
3,SALLEU_P6_R1_W_00001.jpg,33.0,2.2,17.3,2.2,17.3,105.5,1.0,9.7,2.5,15.1,16.9,2.5,89.3,0.0,15.2,246,5876,81.3,2.3,6.8,0.1,0.9
4,SALLEU_P6_R1_W_00001.jpg,2.0,16.2,13.7,16.2,13.7,8.7,14.7,13.1,2.9,1.2,2.3,1.1,175.2,0.3,2.9,3476,3249,179.2,1.2,2.1,0.5,0.8
5,SALLEU_P6_R1_W_00001.jpg,1.3,9.6,16.7,9.6,16.7,7.8,8.4,16.2,2.3,0.9,1.9,0.9,176.9,0.3,2.3,1984,3976,177.7,0.9,2.2,0.5,0.9
6,SALLEU_P6_R1_W_00001.jpg,0.0,20.9,21.0,20.9,21.0,1.5,20.8,20.9,0.2,0.2,0.1,0.1,168.0,0.1,0.2,4926,4996,49.5,0.2,1.0,1.0,0.5
7,SALLEU_P6_R1_W_00001.jpg,1.3,13.0,22.0,13.0,22.0,8.0,11.5,21.6,2.5,0.9,2.1,0.8,0.0,0.3,2.5,2726,5210,179.9,0.9,2.6,0.4,0.8
8,SALLEU_P6_R1_W_00001.jpg,0.0,3.3,22.7,3.3,22.7,2.2,3.2,22.3,0.1,0.8,0.8,0.0,89.4,0.1,0.8,769,5284,91.9,0.1,22.4,0.0,0.6
9,SALLEU_P6_R1_W_00001.jpg,0.1,21.2,24.5,21.2,24.5,5.3,21.2,23.5,0.1,2.0,2.1,0.0,89.0,0.0,2.0,5024,6056,88.1,0.1,52.4,0.0,0.6
10,SALLEU_P6_R1_W_00001.jpg,0.0,21.2,25.9,21.2,25.9,1.6,21.2,25.6,0.1,0.6,0.7,0.0,89.0,0.1,0.6,5020,6209,85.5,0.0,17.2,0.1,0.7
11,SALLEU_P6_R1_W_00001.jpg,0.0,8.4,26.2,8.4,26.2,0.5,8.3,26.2,0.1,0.1,0.1,0.1,136.4,0.6,0.2,1978,6202,128.2,0.1,1.5,0.7,0.9
12,SALLEU_P6_R1_W_00001.jpg,0.0,21.2,26.5,21.2,26.5,1.9,21.2,26.2,0.1,0.6,0.6,0.0,88.8,0.1,0.6,5023,6346,86.7,0.1,14.2,0.1,0.7
13,SALLEU_P6_R1_W_00001.jpg,0.0,21.2,27.2,21.2,27.2,2.1,21.2,26.8,0.1,0.8,0.9,0.0,88.8,0.1,0.8,5016,6542,87.7,0.1,23.1,0.0,0.7
